genus	species	n_seq_species	mean_pct_seq_species	max_pct_seq_species	n_samples_present	pct_samples_present	n_samples_more_1pct	pct_samples_more_1pct
Bathycoccus	Bathycoccus prasinos	16651	10.573743179041523	56.451612903225815	86	93.47826086956522	72	78.26086956521739
Mantoniella	Mantoniella clade B	4037	1.617259538068249	53.112449799196796	38	41.30434782608695	16	17.391304347826086
Mantoniella	Mantoniella squamata	4498	1.147686194131275	70.76398636454783	31	33.69565217391305	11	11.956521739130435
Micromonas	Micromonas bravo clade B1	5394	3.33925263852451	46.977421704297164	58	63.04347826086956	38	41.30434782608695
Micromonas	Micromonas bravo clade B2	28587	10.188038725307011	61.58940397350994	76	82.6086956521739	61	66.30434782608695
Micromonas	Micromonas clade B3	1085	1.643260860376167	32.16374269005848	14	15.217391304347826	11	11.956521739130435
Micromonas	Micromonas clade B4	1590	0.6434093511080207	14.940021810250817	31	33.69565217391305	15	16.304347826086957
Micromonas	Micromonas clade B5	6267	1.9486993906300898	37.7456647398844	27	29.347826086956523	14	15.217391304347826
Micromonas	Micromonas commoda clade A1	5407	2.902120099353476	45.3125	27	29.347826086956523	16	17.391304347826086
Micromonas	Micromonas commoda clade A2	10731	7.134592533062192	40.215053763440864	65	70.65217391304348	57	61.95652173913044
Micromonas	Micromonas polaris	2173	1.5594334311838558	72.85067873303167	6	6.521739130434782	4	4.3478260869565215
Micromonas	Micromonas pusilla	1250	0.7629333748006154	8.396946564885496	41	44.56521739130435	18	19.565217391304348
Ostreococcus	Ostreococcus clade B	6197	2.52644888445829	61.98435277382646	34	36.95652173913044	25	27.17391304347826
Ostreococcus	Ostreococcus clade E	22983	5.253943226109206	70.3678279274641	34	36.95652173913044	20	21.73913043478261
Ostreococcus	Ostreococcus lucimarinus	23090	11.665956633551398	64.15721007473014	60	65.21739130434783	48	52.17391304347826
Ostreococcus	Ostreococcus mediterraneus	617	0.11829091599460954	6.067924528301886	4	4.3478260869565215	2	2.1739130434782608
Ostreococcus	Ostreococcus tauri	7831	4.013807719673491	63.10452418096724	53	57.608695652173914	35	38.04347826086956
