n_seq	file_name	sample_name
37200	OSD1_18S_workable.fasta	OSD1
63574	OSD10_18S_workable.fasta	OSD10
54376	OSD100-1m-depth_18S_workable.fasta	OSD100-1m-depth
7292	OSD100-20m-depth_18S_workable.fasta	OSD100-20m-depth
20322	OSD101_18S_workable.fasta	OSD101
56778	OSD102_18S_workable.fasta	OSD102
32986	OSD103_18S_workable.fasta	OSD103
16234	OSD105_18S_workable.fasta	OSD105
37565	OSD106-sea-water-bottom_18S_workable.fasta	OSD106-sea-water-bottom
23862	OSD106-surface_18S_workable.fasta	OSD106-surface
21236	OSD107_18S_workable.fasta	OSD107
32460	OSD108_18S_workable.fasta	OSD108
27579	OSD109_18S_workable.fasta	OSD109
24554	OSD110_18S_workable.fasta	OSD110
55836	OSD111_18S_workable.fasta	OSD111
22077	OSD113_18S_workable.fasta	OSD113
3108	OSD114_18S_workable.fasta	OSD114
12975	OSD115_18S_workable.fasta	OSD115
27692	OSD116_18S_workable.fasta	OSD116
39363	OSD117_18S_workable.fasta	OSD117
43588	OSD118_18S_workable.fasta	OSD118
28937	OSD122_18S_workable.fasta	OSD122
22835	OSD123_18S_workable.fasta	OSD123
40239	OSD124_18S_workable.fasta	OSD124
30146	OSD125_18S_workable.fasta	OSD125
40577	OSD126_18S_workable.fasta	OSD126
27416	OSD127_18S_workable.fasta	OSD127
54396	OSD128_18S_workable.fasta	OSD128
26941	OSD129_18S_workable.fasta	OSD129
33553	OSD13_18S_workable.fasta	OSD13
45528	OSD130_18S_workable.fasta	OSD130
19226	OSD131_18S_workable.fasta	OSD131
19724	OSD132_18S_workable.fasta	OSD132
35206	OSD133_18S_workable.fasta	OSD133
35180	OSD14_18S_workable.fasta	OSD14
38152	OSD141_18S_workable.fasta	OSD141
9597	OSD142_18S_workable.fasta	OSD142
45101	OSD143_18S_workable.fasta	OSD143
22201	OSD144_18S_workable.fasta	OSD144
51118	OSD145_18S_workable.fasta	OSD145
20698	OSD146_18S_workable.fasta	OSD146
48610	OSD147_18S_workable.fasta	OSD147
21160	OSD148_18S_workable.fasta	OSD148
38885	OSD149_18S_workable.fasta	OSD149
18282	OSD15-50m-depth_18S_workable.fasta	OSD15-50m-depth
36089	OSD15-surface_18S_workable.fasta	OSD15-surface
43132	OSD150_18S_workable.fasta	OSD150
12738	OSD151_18S_workable.fasta	OSD151
27455	OSD152-10m-depth_18S_workable.fasta	OSD152-10m-depth
32972	OSD152-1m-depth_18S_workable.fasta	OSD152-1m-depth
58475	OSD152-5m-depth_18S_workable.fasta	OSD152-5m-depth
27838	OSD153_18S_workable.fasta	OSD153
35650	OSD154_18S_workable.fasta	OSD154
1238	OSD155-12-8m-depth_18S_workable.fasta	OSD155-12-8m-depth
11418	OSD155-1m-depth_18S_workable.fasta	OSD155-1m-depth
35755	OSD156-11-8m-depth_18S_workable.fasta	OSD156-11-8m-depth
6050	OSD156-1m-depth_18S_workable.fasta	OSD156-1m-depth
56258	OSD157-1m-depth_18S_workable.fasta	OSD157-1m-depth
20472	OSD157-80m-depth_18S_workable.fasta	OSD157-80m-depth
17339	OSD158_18S_workable.fasta	OSD158
19821	OSD159_18S_workable.fasta	OSD159
27839	OSD162_18S_workable.fasta	OSD162
20311	OSD163_18S_workable.fasta	OSD163
7421	OSD164_18S_workable.fasta	OSD164
15336	OSD165_18S_workable.fasta	OSD165
24933	OSD166_18S_workable.fasta	OSD166
26427	OSD167_18S_workable.fasta	OSD167
70990	OSD168_18S_workable.fasta	OSD168
25193	OSD169_18S_workable.fasta	OSD169
30812	OSD17_18S_workable.fasta	OSD17
66364	OSD170_18S_workable.fasta	OSD170
38106	OSD171_18S_workable.fasta	OSD171
299	OSD172_18S_workable.fasta	OSD172
55709	OSD173_18S_workable.fasta	OSD173
65240	OSD174_18S_workable.fasta	OSD174
34578	OSD175_18S_workable.fasta	OSD175
51937	OSD176_18S_workable.fasta	OSD176
56285	OSD177_18S_workable.fasta	OSD177
70706	OSD178_18S_workable.fasta	OSD178
20556	OSD18_18S_workable.fasta	OSD18
34810	OSD182_18S_workable.fasta	OSD182
52699	OSD183_18S_workable.fasta	OSD183
48422	OSD184_18S_workable.fasta	OSD184
65505	OSD185_18S_workable.fasta	OSD185
25606	OSD186_18S_workable.fasta	OSD186
33359	OSD187_18S_workable.fasta	OSD187
18755	OSD19_18S_workable.fasta	OSD19
43436	OSD2_18S_workable.fasta	OSD2
59413	OSD20-20m-depth_18S_workable.fasta	OSD20-20m-depth
13646	OSD20-surface_18S_workable.fasta	OSD20-surface
15669	OSD21_18S_workable.fasta	OSD21
57249	OSD22_18S_workable.fasta	OSD22
12202	OSD24_18S_workable.fasta	OSD24
24098	OSD25_18S_workable.fasta	OSD25
33445	OSD26_18S_workable.fasta	OSD26
10844	OSD28_18S_workable.fasta	OSD28
27802	OSD29_18S_workable.fasta	OSD29
40348	OSD3_18S_workable.fasta	OSD3
45426	OSD30_18S_workable.fasta	OSD30
13780	OSD34_18S_workable.fasta	OSD34
37629	OSD35_18S_workable.fasta	OSD35
31966	OSD36_18S_workable.fasta	OSD36
42958	OSD37_18S_workable.fasta	OSD37
33737	OSD38_18S_workable.fasta	OSD38
13728	OSD39_18S_workable.fasta	OSD39
41932	OSD4_18S_workable.fasta	OSD4
29294	OSD41_18S_workable.fasta	OSD41
21009	OSD42_18S_workable.fasta	OSD42
26386	OSD43_18S_workable.fasta	OSD43
23806	OSD45_18S_workable.fasta	OSD45
2496	OSD46_18S_workable.fasta	OSD46
42009	OSD47_18S_workable.fasta	OSD47
19935	OSD48_18S_workable.fasta	OSD48
33142	OSD49_18S_workable.fasta	OSD49
28115	OSD5-1m-depth_18S_workable.fasta	OSD5-1m-depth
39417	OSD5-75m-depth_18S_workable.fasta	OSD5-75m-depth
24826	OSD50_18S_workable.fasta	OSD50
23549	OSD51_18S_workable.fasta	OSD51
17362	OSD52_18S_workable.fasta	OSD52
15814	OSD53_18S_workable.fasta	OSD53
39503	OSD54_18S_workable.fasta	OSD54
34955	OSD55_18S_workable.fasta	OSD55
34405	OSD56_18S_workable.fasta	OSD56
37507	OSD57_18S_workable.fasta	OSD57
56775	OSD58_18S_workable.fasta	OSD58
27297	OSD6_18S_workable.fasta	OSD6
42776	OSD60_18S_workable.fasta	OSD60
30608	OSD61_18S_workable.fasta	OSD61
40396	OSD62_18S_workable.fasta	OSD62
2061	OSD63_18S_workable.fasta	OSD63
56648	OSD64_18S_workable.fasta	OSD64
32493	OSD65_18S_workable.fasta	OSD65
46329	OSD69_18S_workable.fasta	OSD69
18692	OSD7_18S_workable.fasta	OSD7
44592	OSD70_18S_workable.fasta	OSD70
56077	OSD71_18S_workable.fasta	OSD71
23928	OSD72_18S_workable.fasta	OSD72
25464	OSD73_18S_workable.fasta	OSD73
54090	OSD74_18S_workable.fasta	OSD74
20080	OSD76_18S_workable.fasta	OSD76
9304	OSD77_18S_workable.fasta	OSD77
46462	OSD78_18S_workable.fasta	OSD78
20839	OSD8_18S_workable.fasta	OSD8
40102	OSD80-2m-depth_18S_workable.fasta	OSD80-2m-depth
51670	OSD80_18S_workable.fasta	OSD80
18238	OSD81_18S_workable.fasta	OSD81
7193	OSD90-melted_18S_workable.fasta	OSD90-melted
62283	OSD90_18S_workable.fasta	OSD90
34732	OSD91_18S_workable.fasta	OSD91
42186	OSD92_18S_workable.fasta	OSD92
19473	OSD93_18S_workable.fasta	OSD93
21562	OSD94_18S_workable.fasta	OSD94
62733	OSD95_18S_workable.fasta	OSD95
10628	OSD96_18S_workable.fasta	OSD96
16750	OSD97_18S_workable.fasta	OSD97
38711	OSD98_18S_workable.fasta	OSD98
50111	OSD99_18S_workable.fasta	OSD99
